position,title
Q3272410,Member of the Legislative Assembly of Northern Ireland
Q37303731,Member of the 1st Northern Ireland Assembly
Q37303721,Member of the 2nd Northern Ireland Assembly
Q37303713,Member of the 3rd Northern Ireland Assembly
Q37279086,Member of the 4th Northern Ireland Assembly
Q37279037,Member of the 5th Northern Ireland Assembly
Q37279107,Member of the 6th Northern Ireland Assembly
Q19462434,Member of the Parliament of Northern Ireland
Q18343375,Member of the Senate of Northern Ireland
Q28872303,member of the 1973–74 Northern Ireland Assembly
Q37845660,Member of the 1982–1986 Northern Ireland Assembly
